date,total,unique
2026-03-08,90,
2026-03-09,2,
2026-03-11,123,
2026-03-12,2,
2026-03-15,3,
2026-03-17,217,
2026-03-18,1,
2026-03-19,2,
2026-03-20,173,
2026-03-21,3,
2026-03-22,2,
2026-03-23,5,
2026-03-24,2,
2026-03-28,100,
2026-03-29,2,
2026-03-30,3,
2026-03-31,83,
2026-04-01,3,
2026-04-03,9,
2026-04-05,1,
2026-04-06,1,
2026-04-07,1,
2026-04-08,3,
2026-04-09,3,
2026-04-10,1,
2026-04-13,2,
2026-04-14,1,
2026-04-15,2,
2026-04-20,3,
2026-04-21,1,
2026-04-23,1,
2026-04-24,10,
2026-04-25,16,
2026-04-26,1,
2026-04-30,1,
2026-05-01,2,
2026-05-03,1,
2026-05-04,1,
2026-05-06,2,
2026-05-07,1,
2026-05-08,92,
2026-05-09,4,
2026-05-10,2,
2026-05-11,4,
2026-05-12,1,
2026-05-13,1,
2026-05-14,19,
2026-05-15,3,
2026-05-16,3,
2026-05-17,1,
2026-05-18,2,
2026-05-19,1,
2026-05-20,1,
2026-05-21,2,
2026-05-22,3,
2026-05-24,2,
2026-05-25,1,
2026-05-26,1,
2026-05-28,2,
2026-05-29,2,
2026-05-31,3,
2026-06-01,3,
2026-06-03,1,
2026-06-04,1,
2026-06-05,3,
2026-06-06,2,
2026-06-07,3,
2026-06-08,2,
2026-06-09,2,
2026-06-10,1,
2026-06-11,3,
2026-06-12,2,
2026-06-13,4,
2026-06-15,4,
2026-06-16,1,
2026-06-17,2,
2026-06-21,6,
2026-06-22,1,
2026-06-23,2,
2026-06-25,6,
2026-06-27,1,
2026-06-29,1,1
2026-07-02,4,3
2026-07-04,2,2
2026-07-05,2,2
2026-07-06,8,2
2026-07-07,1,1
2026-07-08,1,1
2026-07-10,1,1
2026-07-11,0,0
2026-07-12,1,1
2026-07-13,22,13
2026-07-14,6,5
2026-07-15,13,8
2026-07-16,4,4
2026-07-17,12,8
2026-07-18,14,9
2026-07-19,4,4
2026-07-20,12,12
2026-07-21,3,3
2026-07-22,6,6
2026-07-23,2,2
2026-07-24,4,4
2026-07-25,7,6
2026-07-26,10,7
2026-07-27,3,3
2026-07-28,3,3
2026-07-29,12,8
2026-07-30,13,8
2026-07-31,3,3
2026-08-01,4,4
2026-08-02,6,5
2026-08-03,1,1
2026-08-04,31,9
2026-08-05,9,7
2026-08-06,44,7
2026-08-07,11,6
2026-08-08,4,4
2026-08-09,3,2
2026-08-10,4,4
2026-08-11,4,3
2026-08-12,7,4
2026-08-13,5,4
2026-08-14,6,3
2026-08-15,4,3
2026-08-16,3,3
2026-08-17,6,6
2026-08-18,3,3
2026-08-19,5,5
