date,total,unique
2026-06-29,1,1
2026-06-30,5,3
2026-07-01,6,4
2026-07-02,0,0
2026-07-03,2,1
2026-07-04,1,1
2026-07-05,10,2
2026-07-06,3,3
2026-07-07,6,3
2026-07-08,3,2
2026-07-09,1,1
2026-07-10,1,1
2026-07-11,6,1
2026-07-12,16,2
2026-07-13,8,2
2026-07-14,16,4
2026-07-15,63,26
2026-07-16,13,9
2026-07-17,5,3
2026-07-18,4,3
2026-07-19,2,2
2026-07-20,7,4
2026-07-21,11,4
2026-07-22,6,2
2026-07-23,6,4
2026-07-24,10,5
2026-07-25,7,2
2026-07-26,17,2
2026-07-27,1,1
2026-07-28,0,0
2026-07-29,15,8
2026-07-30,11,7
2026-07-31,6,3
2026-08-01,6,4
2026-08-02,0,0
2026-08-03,23,5
2026-08-04,3,1
2026-08-05,6,1
2026-08-06,5,2
2026-08-07,1,1
2026-08-08,0,0
2026-08-09,4,2
2026-08-10,0,0
2026-08-11,1,1
2026-08-12,5,3
2026-08-13,4,3
2026-08-14,10,6
2026-08-15,14,3
2026-08-16,6,2
2026-08-17,3,3
